group,track_id,total_frames,mean_match_cost,max_match_cost,mean_center_distance,max_center_distance,mean_iou,min_iou,suspicious,suspicion_reason
zm2_5,7,97,0.0013922089798600926,0.0093303195637359,0.00020852035989226393,0.0011331839442092,0.9964095121544854,0.9754464285714286,False,
zm2_5,8,97,0.0033556286359437094,0.0195979520716144,0.0003884310767866288,0.0022663678884184,0.9911338616113359,0.9473333333333334,False,
zm2_5,9,97,0.001833318106124274,0.0088463256612969,0.00028970945522620615,0.0011331839442092,0.9952999801136364,0.9768292682926828,False,
zm2_5,10,97,0.0010786718278578444,0.0098800880822544,0.00017689510278195053,0.0011331839442092,0.9972465999684297,0.9738756613756614,False,
zm2_6,1,97,0.002164496927227877,0.0110760757365754,0.0002683492051136412,0.0011331839442092,0.9943140858745599,0.9692307692307692,False,
zm2_6,2,97,0.0014725796689772227,0.0096679890214712,0.00021678099959620206,0.0011331839442092,0.9961952228021723,0.9744816586921852,False,
zm2_6,3,97,0.001431591248231557,0.0104164331742683,0.00024298022041345567,0.0011331839442092,0.9963609882715349,0.9723432468270504,False,
zm2_6,4,97,0.003457098193717374,0.0294854700025859,0.0004351382078086845,0.0040064102564102,0.9909306904038807,0.9231962761830876,False,
zm2_6,5,97,0.0010467760187091062,0.0055208333333333,0.0001652127940787629,0.000801282051282,0.9973160351355489,0.9857142857142858,False,
zm2_6,6,97,0.0010911596002964434,0.0142915411646586,0.0001486915146708866,0.000801282051282,0.9971585425263989,0.9606551204819276,False,
zm2_6,7,97,0.0027949038601482504,0.0198546565882792,0.0003061764398480423,0.0017917211358171,0.9925831737878656,0.9462486002239642,False,
zm2_6,8,97,0.0014865676124351784,0.0087574028970693,0.00020167702189376495,0.0011331839442092,0.9961272070051308,0.9770833333333332,False,
zm2_6,9,97,0.0021733562228437486,0.0128255208333333,0.0002532452274112041,0.0011331839442092,0.9942607233570672,0.96484375,False,
zm2_6,10,97,0.0014903235167422453,0.0129060734463276,0.00022645894100558245,0.0016025641025641,0.9961624994140326,0.9661016949152542,False,
zm2_7,1,97,0.0007901003342383268,0.0055932971014492,0.0001321702352630103,0.000801282051282,0.9979880294819503,0.9855072463768116,False,
zm2_7,2,97,0.0007553349468026753,0.0050662878787878,0.00012390959555907217,0.000801282051282,0.9980720179723164,0.987012987012987,False,
zm2_7,3,97,0.0006575056705929155,0.0102521929824561,9.086703674332061e-05,0.0016025641025641,0.9982901654379722,0.9736842105263158,False,
zm2_7,4,97,0.001573371979538237,0.0097222222222222,0.00025124086011739795,0.0016025641025641,0.995971241655823,0.9722222222222222,False,
zm2_7,5,97,0.0007616171233774287,0.0113426301697965,9.771037474182062e-05,0.0016025641025641,0.9980054132005851,0.9696969696969696,False,
zm2_7,6,97,0.0013267909199375042,0.0172283185636481,0.00020651599259845566,0.0016025641025641,0.9965926985007184,0.9537524231514816,False,
zm2_7,7,97,0.0018117985892672063,0.0100822813232408,0.000302809065634833,0.0011331839442092,0.9953857922954155,0.9732979664014146,False,
zm2_7,8,97,0.0009464832981075144,0.0098591549295774,0.0001321702352630103,0.000801282051282,0.9975412210137528,0.971830985915493,False,
zm2_7,9,97,0.001189871775863797,0.007070707070707,0.00019825535289451547,0.000801282051282,0.9969685548671933,0.9797979797979798,False,
zm2_7,10,97,0.0010319401176867742,0.0161739412988777,0.00013607038027854226,0.0017917211358171,0.997304301798555,0.9571162212554382,False,
