group,frame,pg_im_count,pg_el_count,total_objects
pg1_6,28,4,6,10
pg1_6,29,4,6,10
pg1_6,30,4,6,10
pg1_6,31,3,7,10
pg1_6,32,3,7,10
pg1_6,33,3,7,10
pg1_6,34,3,7,10
pg1_6,35,3,7,10
pg1_6,36,3,7,10
pg1_6,37,3,7,10
pg1_6,38,3,7,10
pg1_6,39,3,7,10
pg1_6,40,3,7,10
pg1_6,41,3,7,10
pg1_6,42,3,7,10
pg1_6,43,3,7,10
pg1_6,44,3,7,10
pg1_6,45,3,7,10
pg1_6,46,3,7,10
pg1_6,47,3,7,10
pg1_6,48,3,7,10
pg1_6,49,3,7,10
pg1_6,50,3,7,10
pg1_6,51,3,7,10
pg1_6,52,3,7,10
pg1_6,53,3,7,10
pg1_6,54,3,7,10
pg1_6,55,3,7,10
pg1_6,56,3,7,10
pg1_6,57,3,7,10
pg1_6,58,3,7,10
pg1_6,59,3,7,10
pg1_6,60,3,7,10
pg1_6,61,3,7,10
pg1_6,62,3,7,10
pg1_6,63,3,7,10
pg1_6,64,3,7,10
pg1_6,65,3,7,10
pg1_6,66,3,7,10
pg1_6,67,3,7,10
pg1_6,68,3,7,10
pg1_6,69,3,7,10
pg1_6,70,3,7,10
pg1_6,71,3,7,10
pg1_6,72,3,7,10
pg1_6,73,3,7,10
pg1_6,74,3,7,10
pg1_6,75,3,7,10
pg1_6,76,3,7,10
pg1_6,77,3,7,10
pg1_6,78,3,7,10
pg1_6,79,3,7,10
pg1_6,80,3,7,10
pg1_6,81,3,7,10
pg1_6,82,3,7,10
pg1_6,83,3,7,10
pg1_6,84,3,7,10
pg1_6,85,3,7,10
pg1_6,86,3,7,10
pg1_6,87,3,7,10
pg1_6,88,3,7,10
pg1_6,89,3,7,10
pg1_6,90,3,7,10
pg1_6,91,3,7,10
pg1_6,92,3,7,10
pg1_6,93,3,7,10
pg1_6,94,3,7,10
pg1_6,95,3,7,10
pg1_6,96,3,7,10
pg1_6,97,3,7,10
pg1_7,1,10,0,10
pg1_7,2,10,0,10
pg1_7,3,10,0,10
pg1_7,4,10,0,10
pg1_7,5,10,0,10
pg1_7,6,10,0,10
pg1_7,7,10,0,10
pg1_7,8,10,0,10
pg1_7,9,10,0,10
pg1_7,10,10,0,10
pg1_7,11,10,0,10
pg1_7,12,10,0,10
pg1_7,13,10,0,10
pg1_7,14,10,0,10
pg1_7,15,10,0,10
pg1_7,16,10,0,10
pg1_7,17,10,0,10
pg1_7,18,10,0,10
pg1_7,19,10,0,10
pg1_7,20,9,1,10
pg1_7,21,9,1,10
pg1_7,22,9,1,10
pg1_7,23,8,2,10
pg1_7,24,7,3,10
pg1_7,25,6,4,10
pg1_7,26,4,6,10
pg1_7,27,4,6,10
pg1_7,28,3,7,10
pg1_7,29,2,8,10
pg1_7,30,2,8,10
pg1_7,31,2,8,10
pg1_7,32,2,8,10
pg1_7,33,2,8,10
pg1_7,34,2,8,10
pg1_7,35,2,8,10
pg1_7,36,2,8,10
pg1_7,37,2,8,10
pg1_7,38,2,8,10
pg1_7,39,2,8,10
pg1_7,40,2,8,10
pg1_7,41,2,8,10
pg1_7,42,2,8,10
pg1_7,43,2,8,10
pg1_7,44,2,8,10
pg1_7,45,2,8,10
pg1_7,46,2,8,10
pg1_7,47,2,8,10
pg1_7,48,1,9,10
pg1_7,49,1,9,10
pg1_7,50,1,9,10
pg1_7,51,1,9,10
pg1_7,52,1,9,10
pg1_7,53,1,9,10
pg1_7,54,1,9,10
pg1_7,55,1,9,10
pg1_7,56,1,9,10
pg1_7,57,1,9,10
pg1_7,58,1,9,10
pg1_7,59,1,9,10
pg1_7,60,1,9,10
pg1_7,61,1,9,10
pg1_7,62,1,9,10
pg1_7,63,1,9,10
pg1_7,64,1,9,10
pg1_7,65,1,9,10
pg1_7,66,1,9,10
pg1_7,67,1,9,10
pg1_7,68,1,9,10
pg1_7,69,1,9,10
pg1_7,70,1,9,10
pg1_7,71,1,9,10
pg1_7,72,1,9,10
pg1_7,73,1,9,10
pg1_7,74,1,9,10
pg1_7,75,0,10,10
pg1_7,76,0,10,10
pg1_7,77,0,10,10
pg1_7,78,0,10,10
pg1_7,79,0,10,10
pg1_7,80,0,10,10
pg1_7,81,0,10,10
pg1_7,82,0,10,10
pg1_7,83,0,10,10
pg1_7,84,0,10,10
pg1_7,85,0,10,10
pg1_7,86,0,10,10
pg1_7,87,0,10,10
pg1_7,88,0,10,10
pg1_7,89,0,10,10
pg1_7,90,0,10,10
pg1_7,91,0,10,10
pg1_7,92,0,10,10
pg1_7,93,0,10,10
pg1_7,94,0,10,10
pg1_7,95,0,10,10
pg1_7,96,0,10,10
pg1_7,97,0,10,10
pg1_8,1,10,0,10
pg1_8,2,10,0,10
pg1_8,3,10,0,10
pg1_8,4,10,0,10
pg1_8,5,10,0,10
pg1_8,6,10,0,10
pg1_8,7,10,0,10
pg1_8,8,10,0,10
pg1_8,9,10,0,10
pg1_8,10,10,0,10
pg1_8,11,10,0,10
pg1_8,12,9,1,10
pg1_8,13,10,0,10
pg1_8,14,10,0,10
pg1_8,15,9,1,10
pg1_8,16,10,0,10
pg1_8,17,9,1,10
